yr,area.dec,spGDD.east,spPCP.east,NDVI,denseforest
2004,2.19,352,287.4372,0.50862,77.60827788
2005,5.92,343,172.7512,0.51734,77.17738909
2006,6.67,431,172.3445,0.51042,76.83267744
2007,4.61,349,223.3776,0.52211,75.3570921
2008,5.06,382,212.1177,0.57347,73.89481391
2009,1.92,383,224.5796,0.52274,72.41556059
2010,4.02,345,235.0164,0.50724,71.94779904
2011,2.89,469,67.90364,0.43951,71.46923871
2012,1.19,451,257.0671,0.48226,71.00124478
2013,0.67,332,141.8113,0.51062,70.76692162
2014,1.13,355,116.8732,0.5246,70.57249384
2015,4.01,385,326.1745,0.49275,70.33817068
2016,2.89,370,323.8731,0.54049,71.64137157
2017,2.48,420,223.2927,0.53806,72.99764975
2018,6.05,360,232.8231,0.559,74.30196574
